value,date_earliest,date_latest
20 April 1319,20.04.1319,20.04.1319
udat  [1299-1319 ],01.01.1299,31.12.1319
18 Novbr  1319,18.11.1319,18.11.1319
uden Dag 1319-1320,01.01.1319,31.12.1320
7 Marts 1320,07.03.1320,07.03.1320
9 April 1320,09.04.1320,09.04.1320
20 Decbr  1320,20.12.1320,20.12.1320
8 Mai 1321,08.05.1321,08.05.1321
15 Mai 1321,15.05.1321,15.05.1321
18 Marts 1322,18.03.1322,18.03.1322
18 April 1322,18.04.1322,18.04.1322
4 Mai 1322,04.05.1322,04.05.1322
23 Juni 1322,23.06.1322,23.06.1322
11 Decbr  1322,11.12.1322,11.12.1322
10 Febr  1323,10.02.1323,10.02.1323
22 Mai 1323,22.05.1323,22.05.1323
7 Septbr  1323,07.09.1323,07.09.1323
18 Oktbr  1323,18.10.1323,18.10.1323
5 Mai 1324,05.05.1324,05.05.1324
22 Septbr  1324,22.09.1324,22.09.1324
30 Septbr  1324,30.09.1324,30.09.1324
1 Oktbr  1324,01.10.1324,01.10.1324
4 Novbr  1324,04.11.1324,04.11.1324
15 April 1325,15.04.1325,15.04.1325
29 Mai 1325,29.05.1325,29.05.1325
18 Juli 1325,18.07.1325,18.07.1325
15 Oktbr  1325,15.10.1325,15.10.1325
17 Oktbr  1325,17.10.1325,17.10.1325
15 Novbr  1325,15.11.1325,15.11.1325
29 Marts 1326,29.03.1326,29.03.1326
13 Mai 1326,13.05.1326,13.05.1326
9 Juni 1326,09.06.1326,09.06.1326
15 Juni 1327,15.06.1327,15.06.1327
11 Aug  1327,11.08.1327,11.08.1327
13 Septbr  1327,13.09.1327,13.09.1327
18 Novbr  1327,18.11.1327,18.11.1327
2 Decbr  1327,02.12.1327,02.12.1327
13 Decbr  1327,13.12.1327,13.12.1327
10 Januar 1328,10.01.1328,10.01.1328
29 Januar 1328,29.01.1328,29.01.1328
8 Febr  1328,08.02.1328,08.02.1328
25 Juli 1328,25.07.1328,25.07.1328
26 Novbr  1328,26.11.1328,26.11.1328
16 Decbr  1328,16.12.1328,16.12.1328
15 Marts 1329,15.03.1329,15.03.1329
20 Marts 1329,20.03.1329,20.03.1329
23 August 1329,23.08.1329,23.08.1329
13 Sept  1329,13.09.1329,13.09.1329
udat  [1329 ],01.01.1329,31.12.1329
1 Januar 1330,01.01.1330,01.01.1330
15 Marts 1330,15.03.1330,15.03.1330
25 Marts 1330,25.03.1330,25.03.1330
1 Mai 1330,01.05.1330,01.05.1330
udat  [ved 1330 ],01.01.1330,31.12.1330
28 Marts 1331,28.03.1331,28.03.1331
30 Marts 1331,30.03.1331,30.03.1331
12 April 1331,12.04.1331,12.04.1331
21 Febr  1332,21.02.1332,21.02.1332
9 April 1332,09.04.1332,09.04.1332
24 April 1332,24.04.1332,24.04.1332
22 Juni 1332,22.06.1332,22.06.1332
3 August 1332,03.08.1332,03.08.1332
11 Septbr  1332,11.09.1332,11.09.1332
29 Januar 1333,29.01.1333,29.01.1333
3 Marts 1333,03.03.1333,03.03.1333
19 April 1333,19.04.1333,19.04.1333
12 Oktbr  1333,12.10.1333,12.10.1333
17 Oktbr  1333,17.10.1333,17.10.1333
15 Decbr  1333,15.12.1333,15.12.1333
5 April 1334,05.04.1334,05.04.1334
18 April 1334,18.04.1334,18.04.1334
13 Juli 1334,13.07.1334,13.07.1334
25 Novbr  1334,25.11.1334,25.11.1334
1 Januar 1335,01.01.1335,01.01.1335
23 Januar 1335,23.01.1335,23.01.1335
8 August 1335,08.08.1335,08.08.1335
6 Septb  1335,06.09.1335,06.09.1335
8 Januar 1336,08.01.1336,08.01.1336
12 Febr  1336,12.02.1336,12.02.1336
9 Marts 1336,09.03.1336,09.03.1336
13 April [1336?],01.01.1336,31.12.1336
27 Juni 1336,27.06.1336,27.06.1336
17 Aug  1336,17.08.1336,17.08.1336
8 Septbr  1336,08.09.1336,08.09.1336
14 Marts 1337,14.03.1337,14.03.1337
13 Mai 1337,13.05.1337,13.05.1337
11 Juli 1337,11.07.1337,11.07.1337
7 August 1337,07.08.1337,07.08.1337
26 August 1337,26.08.1337,26.08.1337
10 Septbr  1337?,01.01.1337,31.12.1337
6 Novbr  1337,06.11.1337,06.11.1337
ud  Dag  1337,01.01.1337,31.12.1337
10 Januar 1338,10.01.1338,10.01.1338
23 Juni 1338,23.06.1338,23.06.1338
12 Juli 1338,12.07.1338,12.07.1338
11 Septbr  1338,11.09.1338,11.09.1338
20 Oktbr  1338,20.10.1338,20.10.1338
18 Januar 1339,18.01.1339,18.01.1339
22 Marts 1339,22.03.1339,22.03.1339
6 Mai 1339,06.05.1339,06.05.1339
26 Mai 1339,26.05.1339,26.05.1339
11 Novbr  1339,11.11.1339,11.11.1339
23 Novbr  1339,23.11.1339,23.11.1339
24 Decbr  1339,24.12.1339,24.12.1339
udat  [ved 1339 ],01.01.1339,31.12.1339
13 Februar 1340,13.02.1340,13.02.1340
18 Febr  1340,18.02.1340,18.02.1340
1 Marts 1340,01.03.1340,01.03.1340
23 April 1340,23.04.1340,23.04.1340
26 April 1340,26.04.1340,26.04.1340
9 Septbr  1340,09.09.1340,09.09.1340
8 Marts 1341,08.03.1341,08.03.1341
19 Mai 1341,19.05.1341,19.05.1341
23 Juli 1341,23.07.1341,23.07.1341
26 August 1341,26.08.1341,26.08.1341
29 August 1341,29.08.1341,29.08.1341
29 Septbr  1341,29.09.1341,29.09.1341
21 Oktbr  1341,21.10.1341,21.10.1341
22 Oktbr  1341,22.10.1341,22.10.1341
18 Januar 1342,18.01.1342,18.01.1342
26 April 1342,26.04.1342,26.04.1342
31 Mai 1342,31.05.1342,31.05.1342
1 Juni 1342,01.06.1342,01.06.1342
9 Juni 1342,09.06.1342,09.06.1342
9 Februar 1343,09.02.1343,09.02.1343
12 Marts 1343,12.03.1343,12.03.1343
12 April 1343,12.04.1343,12.04.1343
19 Mai 1343,19.05.1343,19.05.1343
Aug  1342 - Aug  1343,01.08.1342,31.08.1343
