value,date_earliest,date_latest
29 August 1367,29.08.1367,29.08.1367
4 Septbr  1367,04.09.1367,04.09.1367
10 Oktbr  1367,10.10.1367,10.10.1367
13 Januar 1368,13.01.1368,13.01.1368
19 Februar 1368,19.02.1368,19.02.1368
24 Marts 1368,24.03.1368,24.03.1368
27 Juni 1368,27.06.1368,27.06.1368
7 Septbr  [ved 1368 ],01.01.1368,31.12.1368
31 Decbr  1368,31.12.1368,31.12.1368
2 Februar 1369,02.02.1369,02.02.1369
22 Februar 1369,22.02.1369,22.02.1369
24 Marts 1369,24.03.1369,24.03.1369
3 April 1369,03.04.1369,03.04.1369
15 April 1369,15.04.1369,15.04.1369
23 April 1369,23.04.1369,23.04.1369
12 Mai 1369,12.05.1369,12.05.1369
1 Juli 1369,01.07.1369,01.07.1369
4 Juli 1369,04.07.1369,04.07.1369
29 Septbr  1369,29.09.1369,29.09.1369
4 Oktbr  1369,04.10.1369,04.10.1369
10 Oktbr  1369,10.10.1369,10.10.1369
11 Januar 1370,11.01.1370,11.01.1370
16 Januar 1370,16.01.1370,16.01.1370
24 Januar 1370,24.01.1370,24.01.1370
9 Februar 1370,09.02.1370,09.02.1370
l4 Marts 1370,01.03.1370,31.03.1370
16 April 1370,16.04.1370,16.04.1370
13 August 1370,13.08.1370,13.08.1370
30 Oktbr  1370,30.10.1370,30.10.1370
19 April 1371,19.04.1371,19.04.1371
20 April 1371,20.04.1371,20.04.1371
16 Februar 1372,16.02.1372,16.02.1372
18 Marts 1373,18.03.1373,18.03.1373
6 Septbr  1373,06.09.1373,06.09.1373
uden Dag 1375-1376,01.01.1375,31.12.1375
12 Mai 1377,12.05.1377,12.05.1377
9 August 1377,09.08.1377,09.08.1377
15 Marts 1378,15.03.1378,15.03.1378
18 Mai 1378,18.05.1378,18.05.1378
8 August 1378,08.08.1378,08.08.1378
21 Februar 1378,21.02.1378,21.02.1378
5 Novbr  1378,05.11.1378,05.11.1378
27 Januar 1379,27.01.1379,27.01.1379
31 Januar 1379,31.01.1379,31.01.1379
31 Mai 1379,31.05.1379,31.05.1379
14 Juni 1379,14.06.1379,14.06.1379
21 Septbr  [1355-1379 ],21.09.1355,21.09.1379
1 Februar 1380,01.02.1380,01.02.1380
10 Juli 1380 ell  1381,10.07.1380,10.07.1380
31 Juli 1380,31.07.1380,31.07.1380
18 Septbr  1380,18.09.1380,18.09.1380
26 Mai 1383,26.05.1383,26.05.1383
13 Februar 1384,13.02.1384,13.02.1384
11 Marts 1384,11.03.1384,11.03.1384
20 Marts 1384,20.03.1384,20.03.1384
10 Februar 1385,10.02.1385,10.02.1385
20 Juni 1385,20.06.1385,20.06.1385
22 Februar 1386,22.02.1386,22.02.1386
8 April 1386,08.04.1386,08.04.1386
20 Juli [1386?],20.07.1386,20.07.1386
30 Oktbr  1386,30.10.1386,30.10.1386
31 Oktbr  1386,31.10.1386,31.10.1386
2 Novbr  1386,02.11.1386,02.11.1386
7 Novbr  1386,07.11.1386,07.11.1386
10 Decbr  1386,10.12.1386,10.12.1386
29 April 1387,29.04.1387,29.04.1387
1 Mai 1387,01.05.1387,01.05.1387
12 Juni 1387,12.06.1387,12.06.1387
16 Juli 1387,16.07.1387,16.07.1387
13 Oktbr  1387,13.10.1387,13.10.1387
4 Februar 1388,04.02.1388,04.02.1388
19 Februar 1388,19.02.1388,19.02.1388
21 Februar 1388,21.02.1388,21.02.1388
22 Februar 1388,22.02.1388,22.02.1388
28 Februar 1388,28.02.1388,28.02.1388
9 Marts 1388,09.03.1388,09.03.1388
25 April 1389,25.04.1389,25.04.1389
7 April 1388 1,07.04.1388,07.04.1388
14 April 1388,14.04.1388,14.04.1388
5 Juni 1388,05.06.1388,05.06.1388
16 Juni 1388,16.06.1388,16.06.1388
11 Juli 1388,11.07.1388,11.07.1388
14 Septbr  1388,14.09.1388,14.09.1388
28 Novbr  1388,28.11.1388,28.11.1388
uden Dag 1388,01.01.1388,31.12.1388
2 Januar 1389,02.01.1389,02.01.1389
1 Februar 1389,01.02.1389,01.02.1389
15 Februar 1389,15.02.1389,15.02.1389
27 Februar 1389,27.02.1389,27.02.1389
13 Marts 1389,13.03.1389,13.03.1389
16 Marts 1389,16.03.1389,16.03.1389
31 Marts 1389,31.03.1389,31.03.1389
3 April 1389,03.04.1389,03.04.1389
19 April 1389,19.04.1389,19.04.1389
7 Mai 1389,07.05.1389,07.05.1389
9 Mai 1389,09.05.1389,09.05.1389
10 Mai 1389,10.05.1389,10.05.1389
12 Juli 1389,12.07.1389,12.07.1389
20 Juli 1389,20.07.1389,20.07.1389
25 Juli 1389,25.07.1389,25.07.1389
28 Septbr  1389,28.09.1389,28.09.1389
9 Oktbr  1389,09.10.1389,09.10.1389
Oktbr  1389,01.10.1389,31.10.1389
8 Novbr  1389,08.11.1389,08.11.1389
26 Novbr  1389,26.11.1389,26.11.1389
9 April 1390,09.04.1390,09.04.1390
20 April 1390,20.04.1390,20.04.1390
25 Juni 1390,25.06.1390,25.06.1390
16 Juli 1390,16.07.1390,16.07.1390
24 August 1390,24.08.1390,24.08.1390
20 Septbr  1390,20.09.1390,20.09.1390
10 Oktbr  1390?,10.10.1390,10.10.1390
8 Novbr  1390,08.11.1390,08.11.1390
11 Novbr  1390,11.11.1390,11.11.1390
9 Januar 1391,09.01.1391,09.01.1391
10 Januar 1391,10.01.1391,10.01.1391
25 Februar 1391,25.02.1391,25.02.1391
13 Marts 1391,13.03.1391,13.03.1391
20 Marts 1391,20.03.1391,20.03.1391
9 April 1391,09.04.1391,09.04.1391
22 April 1391,22.04.1391,22.04.1391
15 Mai 1391,15.05.1391,15.05.1391
Juni 1391,01.06.1391,30.06.1391
27 Juni 1391,27.06.1391,27.06.1391
27 August 1392,27.08.1392,27.08.1392
16 Oktbr  1391,16.10.1391,16.10.1391
30 Oktbr  1391,30.10.1391,30.10.1391
7 Novbr  1391,07.11.1391,07.11.1391
19 Decbr  1391,19.12.1391,19.12.1391
2 Marts 1392,02.03.1392,02.03.1392
8 April 1392,08.04.1392,08.04.1392
9 April 1392,09.04.1392,09.04.1392
22 Juni 1392,22.06.1392,22.06.1392
23 Juni 1392,23.06.1392,23.06.1392
8 Juli 1392,08.07.1392,08.07.1392
19 Juli 1392,19.07.1392,19.07.1392
2 August 1392,02.08.1392,02.08.1392
23 Septbr  1392,23.09.1392,23.09.1392
9 Oktbr  1392,09.10.1392,09.10.1392
31 Oktbr  1392,31.10.1392,31.10.1392
19 Novbr  1392,19.11.1392,19.11.1392
3 Decbr  1392,03.12.1392,03.12.1392
13 Decbr  1392,13.12.1392,13.12.1392
15 Januar 1393,15.01.1393,15.01.1393
23 Januar 1393,23.01.1393,23.01.1393
1 Februar 1393,01.02.1393,01.02.1393
1 Marts 1393,01.03.1393,01.03.1393
5 Marts 1393,05.03.1393,05.03.1393
11 Marts 1393,11.03.1393,11.03.1393
23 Marts 1393,23.03.1393,23.03.1393
4 April 1393,04.04.1393,04.04.1393
12 Juli 1393,12.07.1393,12.07.1393
6 Januar 1394,06.01.1394,06.01.1394
22 Januar 1394,22.01.1394,22.01.1394
14 Marts 1394,14.03.1394,14.03.1394
8 April 1394,08.04.1394,08.04.1394
22 April 1394,22.04.1394,22.04.1394
19 Juni 1394,19.06.1394,19.06.1394
uden Dag 1393-1394,01.01.1393,31.12.1393
Oktbr  1394,01.10.1394,31.10.1394
16 Januar 1395,16.01.1395,16.01.1395
1 Februar 1395,01.02.1395,01.02.1395
5 Marts 1395,05.03.1395,05.03.1395
11 Marts 1395,11.03.1395,11.03.1395
14 Marts 1395,14.03.1395,14.03.1395
18 Marts 1395,18.03.1395,18.03.1395
24 Marts 1395,24.03.1395,24.03.1395
19 April 1395,19.04.1395,19.04.1395
3 Mai 1395,03.05.1395,03.05.1395
15 Mai 1395,15.05.1395,15.05.1395
19 Juli 1395,19.07.1395,19.07.1395
12 Septbr  1395,12.09.1395,12.09.1395
24 Oktbr  1395,24.10.1395,24.10.1395
17 Novbr  1395,17.11.1395,17.11.1395
30 Novbr  1395,30.11.1395,30.11.1395
12 Decbr  1395,12.12.1395,12.12.1395
12 Januar 1396,12.01.1396,12.01.1396
31 Januar 1396,31.01.1396,31.01.1396
ved 2 Febr  1396,01.01.1396,31.12.1396
5 Februar 1396,05.02.1396,05.02.1396
24 Februar 1396,24.02.1396,24.02.1396
13 Marts 1396,13.03.1396,13.03.1396
19 Marts 1396,19.03.1396,19.03.1396
3 April 1396,03.04.1396,03.04.1396
9 April 1396,09.04.1396,09.04.1396
11 April 1396,11.04.1396,11.04.1396
16 April [19 Aug ?] 1396,16.04.1396,19.08.1396
3 Juni 1396,03.06.1396,03.06.1396
22 Juni 1396,22.06.1396,22.06.1396
1 Septbr  1396,01.09.1396,01.09.1396
4 Septbr  1396,04.09.1396,04.09.1396
3 Decbr  1396,03.12.1396,03.12.1396
10 Februar 1397,10.02.1397,10.02.1397
25 Juni 1397,25.06.1397,25.06.1397
7 Juli 1397,07.07.1397,07.07.1397
August 1397,01.08.1397,31.08.1397
16 Oktbr  1397,16.10.1397,16.10.1397
18 Novbr  1397,18.11.1397,18.11.1397
19 Februar 1398,19.02.1398,19.02.1398
17 April 1398,17.04.1398,17.04.1398
2 Mai 1398,02.05.1398,02.05.1398
13 Mai 1398,13.05.1398,13.05.1398
28 Mai 1398,28.05.1398,28.05.1398
3 Juli 1398,03.07.1398,03.07.1398
1 Septbr  1398,01.09.1398,01.09.1398
3 Septbr  1398,03.09.1398,03.09.1398
30 Septbr  1398,30.09.1398,30.09.1398
28 Januar 1399,28.01.1399,28.01.1399
9 Februar 1399,09.02.1399,09.02.1399
23 Februar 1399,23.02.1399,23.02.1399
1 Marts 1399,01.03.1399,01.03.1399
20 Marts 1399,20.03.1399,20.03.1399
8 April 1399,08.04.1399,08.04.1399
9 Mai 1399,09.05.1399,09.05.1399
13 Mai 1399,13.05.1399,13.05.1399
30 Mai 1399,30.05.1399,30.05.1399
16 Juni 1399,16.06.1399,16.06.1399
29 Juni 1399,29.06.1399,29.06.1399
5 Septbr  1399,05.09.1399,05.09.1399
26 Novbr  1399,26.11.1399,26.11.1399
30 Novbr  1399,30.11.1399,30.11.1399
4 Februar 1400,04.02.1400,04.02.1400
18 Marts 1400,18.03.1400,18.03.1400
21 Marts 1400,21.03.1400,21.03.1400
23 Marts 1400,23.03.1400,23.03.1400
25 Marts 1400,25.03.1400,25.03.1400
2 April 1400,02.04.1400,02.04.1400
21 April 1400,21.04.1400,21.04.1400
5 Mai 1400,05.05.1400,05.05.1400
31 Juli 1400,31.07.1400,31.07.1400
17 0ktbr  1400,01.01.1400,31.12.1400
18 Decbr  1400,18.12.1400,18.12.1400
5 Marts 1401,05.03.1401,05.03.1401
10 Marts 1401,10.03.1401,10.03.1401
1 Juni 1401,01.06.1401,01.06.1401
9 Juni 1401,09.06.1401,09.06.1401
8 Juli 1401,08.07.1401,08.07.1401
13 Septbr  14011,13.09.1401,13.09.1401
26 Septbr  1401,26.09.1401,26.09.1401
28 Februar 1402,28.02.1402,28.02.1402
5 April 1402,05.04.1402,05.04.1402
12 April 1402,12.04.1402,12.04.1402
21 Juli 1402,21.07.1402,21.07.1402
4 Decbr  1402,04.12.1402,04.12.1402
22 Januar 1403,22.01.1403,22.01.1403
7 Februar 1403,07.02.1403,07.02.1403
16 Februar 1403,16.02.1403,16.02.1403
17 Februar 1403,17.02.1403,17.02.1403
26 Marts 1403,26.03.1403,26.03.1403
14 Juli 1403,14.07.1403,14.07.1403
3 August 1403,03.08.1403,03.08.1403
6 Oktbr  1403,06.10.1403,06.10.1403
5 Novbr  1403,05.11.1403,05.11.1403
4 Decbr  1403,04.12.1403,04.12.1403
5 Febr  [29 Jan ?] 1404,01.01.1404,31.12.1404
27 Februar 1404,27.02.1404,27.02.1404
24 April 1404,24.04.1404,24.04.1404
24 Mai 1404,24.05.1404,24.05.1404
2 Juli 1404,02.07.1404,02.07.1404
11 Septbr  1404,11.09.1404,11.09.1404
16 Oktbr  1404,16.10.1404,16.10.1404
3 Februar 1405,03.02.1405,03.02.1405
16 Marts 1405,16.03.1405,16.03.1405
27 Marts 1405,27.03.1405,27.03.1405
18 Mai 1405,18.05.1405,18.05.1405
19 Mai 1405,19.05.1405,19.05.1405
8 Juni 1405,08.06.1405,08.06.1405
9 Juni 1405,09.06.1405,09.06.1405
10 Septbr  1405,10.09.1405,10.09.1405
20 Oktbr  1405,20.10.1405,20.10.1405
26 Novbr  1405,26.11.1405,26.11.1405
9 Decbr  1405,09.12.1405,09.12.1405
13 Januar 1406,13.01.1406,13.01.1406
1 Marts 1406,01.03.1406,01.03.1406
15 August 1406,15.08.1406,15.08.1406
13 Oktbr  1406,13.10.1406,13.10.1406
5 Novbr  1405,05.11.1405,05.11.1405
19 Decbr  1406,19.12.1406,19.12.1406
14 Januar 1407,14.01.1407,14.01.1407
14 Marts 1407,14.03.1407,14.03.1407
7 April 1407,07.04.1407,07.04.1407
23 Mai 1407,23.05.1407,23.05.1407
17 Juni 1407,17.06.1407,17.06.1407
25 Juli 1407,25.07.1407,25.07.1407
29 Septbr  1407,29.09.1407,29.09.1407
9 Oktbr  1407,09.10.1407,09.10.1407
11 Oktbr  1407,11.10.1407,11.10.1407
15 Februar 1408,15.02.1408,15.02.1408
16 Februar 1408,16.02.1408,16.02.1408
14 Marts 1408,14.03.1408,14.03.1408
10 Januar 1409,10.01.1409,10.01.1409
21 Juni 1409,21.06.1409,21.06.1409
31 Oktbr  1409,31.10.1409,31.10.1409
28 April 1410,28.04.1410,28.04.1410
10 Mai 1410,10.05.1410,10.05.1410
16 Mai 1410,16.05.1410,16.05.1410
7 Novbr  1410,07.11.1410,07.11.1410
6 Decbr  1410,06.12.1410,06.12.1410
29 April 1411,29.04.1411,29.04.1411
26 Juni 1411,26.06.1411,26.06.1411
7 Novbr  1411,07.11.1411,07.11.1411
23 Marts 1412,23.03.1412,23.03.1412
18 Decbr  1412,18.12.1412,18.12.1412
7 Jan  [10 Juli] 1413,07.07.1413,10.07.1413
3 Marts 1413,03.03.1413,03.03.1413
29 Mai 1413,29.05.1413,29.05.1413
26 August 1413,26.08.1413,26.08.1413
4 Septbr  1413,04.09.1413,04.09.1413
17 Marts [1414 ]1,17.03.1414,17.03.1414
21 Marts 1414,21.03.1414,21.03.1414
24 Juni 1414,24.06.1414,24.06.1414
22 Oktbr  1414,22.10.1414,22.10.1414
27 Januar 1415,27.01.1415,27.01.1415
11 April 1415,11.04.1415,11.04.1415
10 Oktbr  1415,10.10.1415,10.10.1415
21 Decbr  1415,21.12.1415,21.12.1415
21 Mai 1417,21.05.1417,21.05.1417
4 Juni 1417,04.06.1417,04.06.1417
12 April 1418,12.04.1418,12.04.1418
7 Septbr  1418,07.09.1418,07.09.1418
10 Novbr  1418,10.11.1418,10.11.1418
26 Mai 1420,26.05.1420,26.05.1420
10 Septbr  1420,10.09.1420,10.09.1420
20 Septbr  1420,20.09.1420,20.09.1420
udat  [Septbr  1420 ]1,01.09.1420,01.09.1420
udat  [1420 1],01.01.1420,31.12.1420
udat  [1420-14211 ],01.01.1420,31.12.1421
14 August 1421,14.08.1421,14.08.1421
12 Marts 1422,12.03.1422,12.03.1422
3 April 1422,03.04.1422,03.04.1422
26 Juli 1422,26.07.1422,26.07.1422
7 Februar 1423,07.02.1423,07.02.1423
22 Februar 1423,22.02.1423,22.02.1423
16 Oktbr  1423,16.10.1423,16.10.1423
14 Februar 1424,14.02.1424,14.02.1424
8 April 1424,08.04.1424,08.04.1424
4 Juni 1424,04.06.1424,04.06.1424
21 Septbr  1424,21.09.1424,21.09.1424
6 Mai 1425,06.05.1425,06.05.1425
7 Mai 1425,07.05.1425,07.05.1425
3 Novbr  1426,03.11.1426,03.11.1426
27 Decbr  1426 1,27.12.1426,27.12.1426
30 Marts 1427,30.03.1427,30.03.1427
Septbr  1426 - Septbr  1427,01.09.1426,30.09.1427
29 Oktbr  1427,29.10.1427,29.10.1427
5 Februar 1428,05.02.1428,05.02.1428
26 Septbr  1428,26.09.1428,26.09.1428
19 Oktbr  1428,19.10.1428,19.10.1428
15 Septbr  1429,15.09.1429,15.09.1429
3 Septbr  1429,03.09.1429,03.09.1429
5 Septbr  1429,05.09.1429,05.09.1429
4 Oktbr  1429,04.10.1429,04.10.1429
28 Januar 1430,28.01.1430,28.01.1430
21 Marts 1430,21.03.1430,21.03.1430
3 Novbr  1430,03.11.1430,03.11.1430
27 Novbr  1430,27.11.1430,27.11.1430
Decbr  u  A  [1430]1,01.12.1430,31.12.1430
12 Januar 1431,12.01.1431,12.01.1431
24 Februar 1431,24.02.1431,24.02.1431
26 Februar 1431,26.02.1431,26.02.1431
31 Juli 1431,31.07.1431,31.07.1431
30 Oktbr  1431,30.10.1431,30.10.1431
6 Februar 1432,06.02.1432,06.02.1432
21 Novbr  1432,21.11.1432,21.11.1432
3 Februar 1434,03.02.1434,03.02.1434
1 April 1434,01.04.1434,01.04.1434
6 Juli 1434,06.07.1434,06.07.1434
26 Juli 1434,26.07.1434,26.07.1434
23 Novbr  1434,23.11.1434,23.11.1434
1 April 1435,01.04.1435,01.04.1435
uden Dag 1435,01.01.1435,31.12.1435
27 Februar 1436,27.02.1436,27.02.1436
17 April 1436,17.04.1436,17.04.1436
27 August 1436,27.08.1436,27.08.1436
18 April 1437,18.04.1437,18.04.1437
30 Mai 1437,30.05.1437,30.05.1437
14 Septbr  1437,14.09.1437,14.09.1437
15 Septbr  1437,15.09.1437,15.09.1437
17 Septbr  1437,17.09.1437,17.09.1437
27 April 1438,27.04.1438,27.04.1438
2 Decbr  1438,02.12.1438,02.12.1438
15 Januar 1439,15.01.1439,15.01.1439
19 Juli 1439,19.07.1439,19.07.1439
11 Decbr  1439,11.12.1439,11.12.1439
uden Dag 1439,01.01.1439,31.12.1439
12 Juni 1440,12.06.1440,12.06.1440
15 Juli 1440,15.07.1440,15.07.1440
22 Juli 1440,22.07.1440,22.07.1440
27 Oktbr  1440,27.10.1440,27.10.1440
28 Oktbr  1440,28.10.1440,28.10.1440
23 Septbr  1441,23.09.1441,23.09.1441
2 Marts 1442,02.03.1442,02.03.1442
23 Marts 1442,23.03.1442,23.03.1442
9 Mai 1442,09.05.1442,09.05.1442
9 Juni 1442,09.06.1442,09.06.1442
18 Juli 1442?,18.07.1442,18.07.1442
8 Juli 1442,08.07.1442,08.07.1442
11 August 1442,11.08.1442,11.08.1442
9 Januar 1443,09.01.1443,09.01.1443
24 Marts 1443,24.03.1443,24.03.1443
20 Marts 1444,20.03.1444,20.03.1444
30 April 1444,30.04.1444,30.04.1444
1 Mai 1444,01.05.1444,01.05.1444
ved 24 Febr  1445,01.01.1445,31.12.1445
5 August 1445,05.08.1445,05.08.1445
14 Novbr  1445,14.11.1445,14.11.1445
2l Oktbr  1446,01.10.1446,31.10.1446
20 April 1447,20.04.1447,20.04.1447
Mai 1447,01.05.1447,31.05.1447
14 Juli 1447,14.07.1447,14.07.1447
15 Januar 1448,15.01.1448,15.01.1448
20 Januar 1448,20.01.1448,20.01.1448
uden Dag 1448,01.01.1448,31.12.1448
16 Marts 1449,16.03.1449,16.03.1449
15 Mai 1449,15.05.1449,15.05.1449
14 Juni 1449,14.06.1449,14.06.1449
22 Juli 1449,22.07.1449,22.07.1449
20 Oktbr  1449,20.10.1449,20.10.1449
14 Novbr  1449,14.11.1449,14.11.1449
24 Novbr  1449,24.11.1449,24.11.1449
26 Novbr  1449,26.11.1449,26.11.1449
10 Februar 1450,10.02.1450,10.02.1450
25 Februar 1450,25.02.1450,25.02.1450
20 Marts 1450,20.03.1450,20.03.1450
13 April 1450,13.04.1450,13.04.1450
15 Mai 1450,15.05.1450,15.05.1450
29 August 1450,29.08.1450,29.08.1450
3 Septbr  1450,03.09.1450,03.09.1450
4 Septbr  1450,04.09.1450,04.09.1450
23 Septbr  1450,23.09.1450,23.09.1450
28 April 1451,28.04.1451,28.04.1451
6 Juni 1451,06.06.1451,06.06.1451
21 Juli 1451,21.07.1451,21.07.1451
24 Juni 1452,24.06.1452,24.06.1452
12 Februar 1453,12.02.1453,12.02.1453
1 Februar 1454,01.02.1454,01.02.1454
1 April 1454,01.04.1454,01.04.1454
13 Mai 1454,13.05.1454,13.05.1454
18 Mai 1454,18.05.1454,18.05.1454
25 August 1454,25.08.1454,25.08.1454
16 Novbr  1454,16.11.1454,16.11.1454
1 Juni 1455,01.06.1455,01.06.1455
15 Oktbr  1456,15.10.1456,15.10.1456
25 Februar 1457,25.02.1457,25.02.1457
10 Marts 1457,10.03.1457,10.03.1457
21 Mai 1458,21.05.1458,21.05.1458
9 April 1459,09.04.1459,09.04.1459
12 April 1459,12.04.1459,12.04.1459
12 Juli 1459,12.07.1459,12.07.1459
uvis Dag 1459,01.01.1459,31.12.1459
29 Juni 1460,29.06.1460,29.06.1460
10 August 1460,10.08.1460,10.08.1460
4 Marts 1461,04.03.1461,04.03.1461
15 August 1461,15.08.1461,15.08.1461
13 Novbr  1461,13.11.1461,13.11.1461
15 Januar 1462,15.01.1462,15.01.1462
8 Oktbr  1463,08.10.1463,08.10.1463
8 Februar 1464,08.02.1464,08.02.1464
20 Februar 1465,20.02.1465,20.02.1465
8 Juli 1465,08.07.1465,08.07.1465
13 August 1465,13.08.1465,13.08.1465
20 Septbr  1465,20.09.1465,20.09.1465
1 Februar 1466,01.02.1466,01.02.1466
7 Marts 1466,07.03.1466,07.03.1466
6 Oktbr  1466,06.10.1466,06.10.1466
9 Septbr  1467,09.09.1467,09.09.1467
15 Oktbr  1467,15.10.1467,15.10.1467
14 April 1468,14.04.1468,14.04.1468
3  Juli 1468,03.07.1468,03.07.1468
13 Februar 1469,13.02.1469,13.02.1469
8 Novbr  1469,08.11.1469,08.11.1469
8 Oktbr  1470,08.10.1470,08.10.1470
30 Marts 1471,30.03.1471,30.03.1471
19 Juni 1472,19.06.1472,19.06.1472
8 August 1472,08.08.1472,08.08.1472
20 August 1472,20.08.1472,20.08.1472
17 April 1473,17.04.1473,17.04.1473
19 Marts 1474,19.03.1474,19.03.1474
24 Januar 1475,24.01.1475,24.01.1475
15 Mai 1475,15.05.1475,15.05.1475
25 Januar? 1476,25.01.1476,25.01.1476
12 Februar 1476,12.02.1476,12.02.1476
25 Februar 1476,25.02.1476,25.02.1476
26 Mai 1477,26.05.1477,26.05.1477
14 Septbr  1477,14.09.1477,14.09.1477
27 Oktbr  1478,27.10.1478,27.10.1478
1 Oktbr  1479,01.10.1479,01.10.1479
5 Juli 1480,05.07.1480,05.07.1480
uden Dag 1480,01.01.1480,31.12.1480
16 Marts 1482,16.03.1482,16.03.1482
2 Novbr  1482,02.11.1482,02.11.1482
31 Januar 1483,31.01.1483,31.01.1483
uvis Dag 1483,01.01.1483,31.12.1483
8 April 1484,08.04.1484,08.04.1484
1 Mai 1484,01.05.1484,01.05.1484
11 Mai 1484,11.05.1484,11.05.1484
uden Dag 1485,01.01.1485,31.12.1485
27 August 1486,27.08.1486,27.08.1486
20 Juni 1487,20.06.1487,20.06.1487
19 Juli 1487,19.07.1487,19.07.1487
5 Oktbr  1488,05.10.1488,05.10.1488
6 Februar 1489,06.02.1489,06.02.1489
27 April? 1490,27.04.1490,27.04.1490
3 Mai 1490,03.05.1490,03.05.1490
uden Dag 1490,01.01.1490,31.12.1490
23 Mai 1491,23.05.1491,23.05.1491
13 Septbr  1491,13.09.1491,13.09.1491
10 Novbr  1491,10.11.1491,10.11.1491
9 Marts 1492,09.03.1492,09.03.1492
28 April 1492,28.04.1492,28.04.1492
24 Juli 1492,24.07.1492,24.07.1492
12 Marts 1493,12.03.1493,12.03.1493
3 Mai 1493,03.05.1493,03.05.1493
16 Mai 1493,16.05.1493,16.05.1493
28 Mai 1494,28.05.1494,28.05.1494
10 Januar 1495,10.01.1495,10.01.1495
3 Mai1 1495,03.05.1495,03.05.1495
31 Juli 1495,31.07.1495,31.07.1495
11 Juni 1496,11.06.1496,11.06.1496
udat  [ved 1496 ],01.01.1496,31.12.1496
9 Mai 1497,09.05.1497,09.05.1497
6 Novbr  1497,06.11.1497,06.11.1497
24 Novbr  1497,24.11.1497,24.11.1497
13 Marts 1498,13.03.1498,13.03.1498
17 Marts 1498,17.03.1498,17.03.1498
6 August 1498,06.08.1498,06.08.1498
16 April 1499,16.04.1499,16.04.1499
6 Juli 1499,06.07.1499,06.07.1499
29 Juli 1499,29.07.1499,29.07.1499
12 Septbr  1499,12.09.1499,12.09.1499
14 Mai 1500,14.05.1500,14.05.1500
10 Novbr  1500,10.11.1500,10.11.1500
udat  [ved 1500 ],01.01.1500,31.12.1500
4 Februar 150[2?],04.02.1502,04.02.1502
10 Mai 1503,10.05.1503,10.05.1503
3 Mai [14 Septbr ] 1505,03.05.1505,14.09.1505
20 Juli 1505,20.07.1505,20.07.1505
6 Septbr  1505,06.09.1505,06.09.1505
14 Oktbr  1505,14.10.1505,14.10.1505
uden Dag 1505,01.01.1505,31.12.1505
14 April 1506,14.04.1506,14.04.1506
2 Marts 1507,02.03.1507,02.03.1507
29 Februar 1508,29.02.1508,29.02.1508
25 Novbr  1508,25.11.1508,25.11.1508
28 Januar 1509,28.01.1509,28.01.1509
23 Juni 1510,23.06.1510,23.06.1510
16 August 1510,16.08.1510,16.08.1510
4 Novbr  1510,04.11.1510,04.11.1510
13 Septbr  1511,13.09.1511,13.09.1511
uden Dag 1511,01.01.1511,31.12.1511
8 Mai 1512,08.05.1512,08.05.1512
21 Juni 1512,21.06.1512,21.06.1512
26 Juni 1512,26.06.1512,26.06.1512
6 Oktbr  1512,06.10.1512,06.10.1512
25 April 1513,25.04.1513,25.04.1513
19 Juni 1513,19.06.1513,19.06.1513
25 Juli 1513,25.07.1513,25.07.1513
19 August 1513,19.08.1513,19.08.1513
14 Februar 1514,14.02.1514,14.02.1514
8 Marts 1514,08.03.1514,08.03.1514
2 Juni 1514,02.06.1514,02.06.1514
1 Juli 1514,01.07.1514,01.07.1514
7 August 1514,07.08.1514,07.08.1514
uden Dag 1515,01.01.1515,31.12.1515
27 Februar 1516,27.02.1516,27.02.1516
23 Juli 1516,23.07.1516,23.07.1516
27 Marts 1517,27.03.1517,27.03.1517
ved 2 Juli 1517,01.01.1517,31.12.1517
10 Juli 1518,10.07.1518,10.07.1518
20 Juli 1518,20.07.1518,20.07.1518
8 Septbr  1519,08.09.1519,08.09.1519
25 Novbr  1520,25.11.1520,25.11.1520
uden Dag 1520,01.01.1520,31.12.1520
24 August 1521,24.08.1521,24.08.1521
15 August 1522,15.08.1522,15.08.1522
22 August 1522,22.08.1522,22.08.1522
23 Februar 1523,23.02.1523,23.02.1523
uden Dag 1524,01.01.1524,31.12.1524
23 Decbr  1525,23.12.1525,23.12.1525
uden Dag 1525,01.01.1525,31.12.1525
4 Oktbr  1527,04.10.1527,04.10.1527
uvis Dag 1527,01.01.1527,31.12.1527
21 Marts 1528,21.03.1528,21.03.1528
22 Mai 1529,22.05.1529,22.05.1529
6 August 1530,06.08.1530,06.08.1530
15 Septbr  1530,15.09.1530,15.09.1530
uden Dag 1530,01.01.1530,31.12.1530
1 februar 1531,01.02.1531,01.02.1531
12 Oktbr  1531,12.10.1531,12.10.1531
3 Mai 1532,03.05.1532,03.05.1532
3 Juli 1532,03.07.1532,03.07.1532
3 Februar 1533,03.02.1533,03.02.1533
1 Septbr  1533,01.09.1533,01.09.1533
8 Septbr  1533,08.09.1533,08.09.1533
4 Mai 1534,04.05.1534,04.05.1534
14 Juli 1534,14.07.1534,14.07.1534
8 Septbr  1534,08.09.1534,08.09.1534
6 Mai [16 Sept ?] 1536,06.05.1536,19.09.1536
8 Septbr  1536,08.09.1536,08.09.1536
8 Decbr  1536,08.12.1536,08.12.1536
4 Marts 1537,04.03.1537,04.03.1537
9 Juni 1537,09.06.1537,09.06.1537
